FileType=PCF
NHL=14
Date=03/12/19	14:49:56
Facility=APL
Serial=16071-1
Customer=NASA
NP=6
Mach=0.080000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  6.800	 96.985	  3.12351	  1.20588	  1.38586	  1.99645	  0.65635	  0.02130	  3.16091	711.70001	 23.30	
  6.787	110.754	  3.12423	  1.05335	  1.54881	  1.96129	  0.68022	  0.01313	  3.16437	711.64001	 23.30	
  6.792	124.591	  3.12065	  0.91436	  1.70253	  1.88551	  0.73424	  0.00903	  3.16512	711.69000	 23.30	
  6.795	138.383	  3.11894	  0.80206	  1.83631	  1.77508	  0.82153	  0.00490	  3.16611	711.67999	 23.30	
  6.808	152.311	  3.11447	  0.71650	  1.94237	  1.63446	  0.93755	 -0.00166	  3.16392	711.70001	 23.30	
  6.796	166.229	  3.11282	  0.66352	  2.01201	  1.47713	  1.07887	 -0.00263	  3.16436	711.82001	 23.30	
  8.491	168.704	  3.07106	  0.47021	  2.16519	  1.45053	  1.02619	 -0.02954	  3.16484	711.79999	 23.30	
  8.502	157.493	  3.07116	  0.51226	  2.10481	  1.61317	  0.87834	 -0.03032	  3.16393	711.79999	 23.30	
  8.494	146.194	  3.07318	  0.58548	  2.00806	  1.76718	  0.74802	 -0.02572	  3.16328	711.75000	 23.30	
  8.495	135.039	  3.07610	  0.68321	  1.88864	  1.89850	  0.64711	 -0.01890	  3.16217	711.56000	 23.30	
  8.487	123.723	  3.08159	  0.80098	  1.74782	  2.01165	  0.56237	 -0.01701	  3.16549	711.67999	 23.30	
  8.492	112.575	  3.08205	  0.93680	  1.59174	  2.08980	  0.50492	 -0.01279	  3.16325	711.63000	 23.30	
  8.510	101.220	  3.08697	  1.09266	  1.42654	  2.14283	  0.47126	 -0.01005	  3.16566	711.67999	 23.30	
  8.500	 90.000	  3.08956	  1.25192	  1.26166	  2.15475	  0.46474	 -0.00196	  3.16485	711.71002	 23.30	
  8.510	 78.780	  3.09248	  1.41888	  1.10469	  2.13026	  0.48833	  0.00384	  3.16590	711.64001	 23.30	
  8.492	 67.425	  3.09601	  1.58491	  0.95623	  2.06723	  0.53944	  0.00650	  3.16575	711.67999	 23.30	
  8.487	 56.277	  3.09673	  1.73557	  0.82810	  1.97475	  0.61140	  0.00995	  3.16422	711.71002	 23.30	
  8.495	 44.961	  3.09820	  1.86840	  0.72232	  1.85244	  0.71124	  0.01395	  3.16372	711.65002	 23.30	
  8.494	 33.806	  3.10068	  1.97947	  0.63808	  1.71470	  0.82686	  0.01516	  3.16494	711.67999	 23.30	
  8.502	 22.507	  3.10071	  2.05955	  0.57902	  1.55559	  0.96660	  0.01208	  3.16391	711.70001	 23.30	
  8.491	 11.296	  3.09882	  2.10504	  0.54778	  1.38760	  1.11806	  0.00866	  3.16148	711.71997	 23.30	
  8.500	  0.000	  3.09759	  2.11681	  0.54349	  1.22484	  1.27998	  0.00711	  3.16316	711.71997	 23.30	
  8.491	-11.296	  3.09894	  2.09181	  0.56660	  1.07023	  1.44561	 -0.00050	  3.16547	711.60999	 23.30	
  8.502	-22.507	  3.09534	  2.03309	  0.60700	  0.92107	  1.60610	 -0.00985	  3.16300	711.63000	 23.30	
  8.494	-33.806	  3.09675	  1.94074	  0.67917	  0.79472	  1.75674	 -0.01400	  3.16760	711.56000	 23.30	
  8.495	-44.961	  3.09336	  1.82039	  0.77098	  0.68420	  1.88771	 -0.01820	  3.16635	711.67999	 23.30	
  8.487	-56.277	  3.08653	  1.67713	  0.88399	  0.59428	  1.99408	 -0.02114	  3.16197	711.60999	 23.30	
  8.492	-67.425	  3.08762	  1.52148	  1.02077	  0.53122	  2.07660	 -0.02784	  3.16614	711.66998	 23.30	
  8.510	-78.780	  3.07983	  1.35342	  1.17351	  0.49260	  2.12053	 -0.02969	  3.16432	711.65997	 23.30	
  8.500	-90.000	  3.08111	  1.19177	  1.33507	  0.48724	  2.12863	 -0.02944	  3.16693	711.65997	 23.30	
  8.510	-101.220	  3.07615	  1.03362	  1.50033	  0.50462	  2.09953	 -0.03104	  3.16461	711.53003	 23.30	
  8.492	-112.575	  3.07485	  0.88609	  1.66508	  0.54989	  2.03479	 -0.03381	  3.16611	711.53003	 23.30	
